2021-07-12 02:26:52,508 - INFO - server_log_config -  Логирование включено!
2021-07-12 02:26:52,533 - INFO - server -  Функция  request вызвана из функции main с аргументами (<Chat(Chat_1, started daemon 12942606336)>,)
2021-07-12 02:26:53,527 - INFO - server -  Функция  request вызвана из функции main с аргументами (<Chat(Chat_2, started daemon 12959395840)>,)
2021-07-12 02:26:53,527 - INFO - server -  Функция  get_user_list вызвана из функции main с аргументами (<Chat(Chat_2, started daemon 12959395840)>,)
2021-07-12 02:26:53,527 - INFO - server -  Функция  response вызвана из функции main с аргументами (<Chat(Chat_2, started daemon 12959395840)>, (2, 200, {1: {'user_name': 'Name-1', 'group': None}, 2: {'user_name': 'Name-2', 'group': None}}))
2021-07-12 02:26:53,528 - INFO - server -  Функция  request вызвана из функции main с аргументами (<Chat(Chat_2, started daemon 12959395840)>,)
2021-07-12 02:26:53,528 - INFO - server -  Функция  send_message вызвана из функции main с аргументами ({'action': 'send_message', 'time': '1626046013.5280828', 'from_user_name': 'Name-2', 'from_guid': '2', 'to_user_name': 'Name-1', 'to_guid': '1', 'message': 'Личное:Hallo Name-2!'},)
2021-07-12 02:26:53,528 - INFO - server -  Функция  request вызвана из функции main с аргументами (<Chat(Chat_2, started daemon 12959395840)>,)
2021-07-12 02:27:03,730 - INFO - server -  Функция  request вызвана из функции main с аргументами (<Chat(Chat_3, started daemon 12942606336)>,)
2021-07-12 02:27:04,836 - INFO - server -  Функция  request вызвана из функции main с аргументами (<Chat(Chat_4, started daemon 12959395840)>,)
2021-07-12 02:27:04,837 - INFO - server -  Функция  get_user_list вызвана из функции main с аргументами (<Chat(Chat_4, started daemon 12959395840)>,)
2021-07-12 02:27:04,837 - INFO - server -  Функция  response вызвана из функции main с аргументами (<Chat(Chat_4, started daemon 12959395840)>, (4, 200, {1: {'user_name': 'Name-1', 'group': None}, 2: {'user_name': 'Name-2', 'group': None}, 3: {'user_name': 'Name-3', 'group': None}, 4: {'user_name': 'Name-4', 'group': None}}))
2021-07-12 02:27:04,837 - INFO - server -  Функция  request вызвана из функции main с аргументами (<Chat(Chat_4, started daemon 12959395840)>,)
2021-07-12 02:27:04,838 - INFO - server -  Функция  send_message вызвана из функции main с аргументами ({'action': 'send_message', 'time': '1626046024.837775', 'from_user_name': 'Name-4', 'from_guid': '4', 'to_user_name': 'Name-3', 'to_guid': '3', 'message': 'Личное:Hallo Name-4!'},)
2021-07-12 02:27:04,838 - INFO - server -  Функция  request вызвана из функции main с аргументами (<Chat(Chat_4, started daemon 12959395840)>,)
2021-07-12 02:27:15,252 - INFO - server -  Функция  request вызвана из функции main с аргументами (<Chat(Chat_5, started daemon 12942606336)>,)
